"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1911556590588903922","Wed May 21 05:41:17 +0000 2025","0","@ryiwoo Deg dd kok tau apa karena abang nakal atau ngondek ya makanya dibawa ke barak Deg dd coba ya tapi awas loh media play mereka oke banget takutnya nanti dd kena semprot balik","1925064333152891182","","minhyvng","in","","0","0","0","https://x.com/undefined/status/1925064333152891182","1502256199827263488",
"1924810659579232410","Wed May 21 05:29:17 +0000 2025","1","@mardigu024 Sementara sy cuma dukung kebijakan mengirim siswa nakal ke barak demi rasa nasionalisme yg sdh mulai luntur di kalangan remaja &amp; anak-anak. Supaya tdk meniru para pejabat menteri &amp; sebagian besar anggota DPR","1925061314071953826","","mardigu024","in","","0","0","0","https://x.com/undefined/status/1925061314071953826","716300942056894464",
"1925049212758298823","Wed May 21 05:26:13 +0000 2025","0","@ashelasalsa ini tuh siswa yg kata si kdm nakal masuk barak itu kah? atau bukan?","1925060540138992067","","ashelasalsa","in","","0","1","0","https://x.com/undefined/status/1925060540138992067","1296016050434105344",
"1924793432574460240","Wed May 21 05:23:15 +0000 2025","0","@randomable_ Berasa kelulusan akabri dan akpol... Ntar lama2 siswa sekolah pada pingin di masukin di barak pikiran mereka harus nakal dulu biar bs masuk barak..","1925059794043601385","","randomable_","in","","0","0","0","https://x.com/undefined/status/1925059794043601385","1250643279806226432",
"1924810659579232410","Wed May 21 05:17:42 +0000 2025","0","@mardigu024 Mengirim anak-anak nakal ke barak militer untuk mendapatkan pendidikan umumnya dianggap sebagai pendekatan yang bermasalah karena berpotensi melanggar hak-hak anak &amp; berpotensi menimbulkan dampak negatif pada perkembangan &amp; kesejahteraan anak.","1925058398799712623","","mardigu024","in","","0","0","0","https://x.com/undefined/status/1925058398799712623","1727048834075783168",
"1925048075745472853","Wed May 21 04:36:41 +0000 2025","0","Mengirim anak nakal ke barak militer adalah bentuk kepedulian seorang gubernur Jabar terhadap generasi penerus bukan tindakan yang kejam. Lihatlah hasilnya perubahan yang drastis ke arah positif. Ini sangat membanggakan bahkan oleh orang2 di luar Jabar https://t.co/sQIQ8f8AOi","1925048075745472853","https://pbs.twimg.com/ext_tw_video_thumb/1924823620402216964/pu/img/uENvfFnWKSknbTIR.jpg","","in","","0","0","0","https://x.com/undefined/status/1925048075745472853","1748104488769277952",
"1925046250736599197","Wed May 21 04:29:26 +0000 2025","0","kang dedi harusnya ente tuh jangan ngirim anak2 nakal ke barak tapi ke: nurul fikri kumon go primagama atau ef","1925046250736599197","","","in","","0","0","0","https://x.com/undefined/status/1925046250736599197","1747487356054294528",
"1925041598129438985","Wed May 21 04:10:57 +0000 2025","0","CURHATAN Siswa SMA Masuk Barak Militer Bukan Karena Nakal Ceritanya Beda dengan Klaim Dedi Mulyadi https://t.co/eiKoLLGO7c lewat @tribunnews","1925041598129438985","","","in","","0","0","0","https://x.com/undefined/status/1925041598129438985","1239919987227127808",
"1925040751496593722","Wed May 21 04:07:35 +0000 2025","0","Jujur ngga kepikiran banget ngelulusin bocah nakal dari barak dikasih seragam. Kepikiran ngga ini pake duit siapa?","1925040751496593722","","","in","","0","0","1","https://x.com/undefined/status/1925040751496593722","339552219",
"1925036159820034313","Wed May 21 03:49:20 +0000 2025","1","Gubernur Jawa Barat Dedi Mulyadi secara berapi-api menegaskan akan melanjutkan program pendidikan di barak militer bagi siswa nakal gelombang kedua. Hal itu setelah 273 siswa lulus gelombang pertama dari program pendidikan di barak militer Dodik Bela Negara Rindam III https://t.co/xEYCvARG9Y","1925036159820034313","https://pbs.twimg.com/amplify_video_thumb/1925035650895773697/img/rvr7w5m6eOIwXqnX.jpg","","in","","0","1","1","https://x.com/undefined/status/1925036159820034313","132078023",
"1924490278527996200","Wed May 21 03:42:14 +0000 2025","0","@somexthread Pendidikan disiplin penting tapi cap anak nakal dikirim ke barak ala Mulyadi jadi trauma seumur hidup","1925034371687625065","","somexthread","in","","0","0","0","https://x.com/undefined/status/1925034371687625065","1724126380412276736",
"1925033935593209956","Wed May 21 03:40:30 +0000 2025","30","Gubernur Lemhannas @Acehasan : Jangan sampai ada anggapan bahwa barak militer adalah tempat pembuangan anak-anak nakal. https://t.co/ZPs6av21qc","1925033935593209956","https://pbs.twimg.com/ext_tw_video_thumb/1925033886402412547/pu/img/eIh0W0UawIr2xxsP.jpg","","in","","0","5","7","https://x.com/undefined/status/1925033935593209956","1040306964100669440",
"1925030584260432135","Wed May 21 03:27:11 +0000 2025","1","Ganti skin! Siswa 'nakal' yang masuk barak militer terlihat tampil memukau sebagai petugas upacara peringatan Hari Kebangkitan Nasional. Disiplin dan semangat mereka jadi cerminan generasi tangguh masa depan! Video | Editor: HumasJabar (Youtube) | Gigih Naskah | Admin: Awan | https://t.co/z8uNJWHiHn","1925030584260432135","https://pbs.twimg.com/amplify_video_thumb/1925029199490011136/img/UjC3V2wKaBP9y_Gj.jpg","","in","","0","0","0","https://x.com/undefined/status/1925030584260432135","502140136",
"1925030291091161246","Wed May 21 03:26:01 +0000 2025","623","Barak Militer vs Perpustakaan mana lebih baik? Kang @DediMulyadi71 mengirim anak-anak nakal ke barak militer Mas @pramonoanung membuka perpustakaan hingga larut malam Dua-duanya bagus sama-sama memberi dampak positif tapi dua-duanya tak layak dibandingkan. Tujuan motif dan https://t.co/LomAJr1atm","1925030291091161246","https://pbs.twimg.com/media/GrcU17yaEAAEihT.jpg","","in","","32","248","100","https://x.com/undefined/status/1925030291091161246","1912306655766933507",
"1925021082563838407","Wed May 21 03:17:24 +0000 2025","0","@kompascom Manttappp. Anggaran masuk ke barak semua dr MBG retret pendidikan anak nakal . Belum yg dibelakang layar dan yg udh ada sblmnya kaya kesehatan dan berkebun.","1925028124414390591","","kompascom","in","","0","0","0","https://x.com/undefined/status/1925028124414390591","50338704",
"1925019763799105922","Wed May 21 02:44:11 +0000 2025","0"," Antara Barak Militer dan Pesantren:Bagaimana Cara Efektif Mengatasi Kenakalan Remaja? Menurut Pengamat Pendidikan Unika Soegijapranata Semarang Tukiman Taruna idiomnya jgn diberikan cap anak nakal.Tentu mencari akar masalah dari keluarga tapi kita tdk menyalahkan keluarga","1925019763799105922","","","in","","0","1","0","https://x.com/undefined/status/1925019763799105922","385894867",
"1924818214703530352","Wed May 21 02:32:32 +0000 2025","0","@neVerAl0nely Gubernur paling populis warga jabar pasti dukung APBD buat anak nakal masuk barak militer setelah keluar barak bingung tujuanya apa ️ APBD buat anak berprestasi bangun sekolah baru memperbaiki gedung fasilitas sekolahan spy masyarakat kelak cerdas &amp; pintar ️","1925016830923702701","","neVerAl0nely","in","","0","0","0","https://x.com/undefined/status/1925016830923702701","1558597547647979520",
"1924793432574460240","Wed May 21 02:26:54 +0000 2025","0","@randomable_ Aduh aduhhh... Klo kayak gni g ada efek jeranya pak... Digojlokkk aj napa.. Lha klo kyak gni.. Ormg2 berbondong2 mau masuk barak nanti... Gmna caranya?? Ya nakal dulu...","1925015416268861528","","randomable_","in","","0","1","0","https://x.com/undefined/status/1925015416268861528","88419261",
"1924985646030176419","Wed May 21 02:23:28 +0000 2025","0","@yourhazel_ jgn digalakin dong cantikku dsr banteng hmmm tp klo nakal langsung aja bawa ke barak&gt;.&lt;","1925014550543532171","","yourhazel_","in","","0","1","0","https://x.com/undefined/status/1925014550543532171","1587421437698404352",
"1925014252697616754","Wed May 21 02:22:17 +0000 2025","2","Setelah mengirimkan siswa nakal ke barak militer Gubernur Jawa Barat Dedi Mulyadi kembali membuat gebrakan. Kali ini Dedi Mulyadi meluncurkan program Sekolah Kebangsaan Jawa Barat Istimewa. Editor : Arfi Nurzeera #IDNTimesJabar https://t.co/DFgPdlYeCJ","1925014252697616754","https://pbs.twimg.com/amplify_video_thumb/1925014138524401664/img/1XFxHzX9jFAkSjRZ.jpg","","in","","0","0","1","https://x.com/undefined/status/1925014252697616754","1318853792893300737",
"1925013717693120716","Wed May 21 02:20:09 +0000 2025","3","Gubernur Jawa Barat Dedi Mulyadi menjawab kritik dari berbagai kalangan terkait kebijakannya mengirim siswa nakal ke barak militer. Editor : Arfi Nurzeera #IDNTimesJabar https://t.co/8vsQcFLmml","1925013717693120716","https://pbs.twimg.com/amplify_video_thumb/1925013427405389825/img/bVoK56XGCgwHKlT1.jpg","","in","","0","0","1","https://x.com/undefined/status/1925013717693120716","1318853792893300737",
